"date" "mlg" "Infected" "Random" "binom" "mlg2"
2011-08-11 "312" 17 3 0.0463829040527344 "2011-08-11_312"
2012-09-06 "594" 16 0 0.00054931640625 "2012-09-06_594"
2012-09-06 "648" 10 0 0.03515625 "2012-09-06_648"
2013-08-29 "64" 0 33 4.19095158576966e-09 "2013-08-29_64"
2013-08-29 "396" 0 10 0.03515625 "2013-08-29_396"
2013-08-29 "659" 45 16 0.00475701591289139 "2013-08-29_659"
