"date" "mlg" "p_value" "threshhold" "sig"
2013-08-29 "659" 4.13005649810222e-09 0.000961538461538462 "yes"
2013-08-29 "64" 1.19655752063941e-08 0.000980392156862745 "yes"
2012-09-06 "635" 0.000501421604771772 0.001 "yes"
2011-09-13 "155" 0.00114550642084934 0.00102040816326531 "no"
2011-08-11 "312" 0.00132781136685219 0.00104166666666667 "no"
2012-09-06 "250" 0.00189425939580447 0.00106382978723404 "no"
2007-10-10 "280" 0.00208391219783273 0.00108695652173913 "no"
2012-09-06 "594" 0.00255453604055475 0.00111111111111111 "no"
2013-08-29 "396" 0.00650284032216783 0.00113636363636364 "no"
2010-08-10 "543" 0.0114826293621306 0.00116279069767442 "no"
2007-10-10 "430" 0.0243799915931063 0.00119047619047619 "no"
2012-09-06 "646" 0.0249892939013024 0.00121951219512195 "no"
2012-09-06 "648" 0.0309518582199498 0.00125 "no"
2013-08-29 "370" 0.0312371939644167 0.00128205128205128 "no"
2010-08-10 "698" 0.0356164052336659 0.00131578947368421 "no"
2011-10-27 "797" 0.056548248103071 0.00135135135135135 "no"
2011-09-13 "681" 0.058557633038833 0.00138888888888889 "no"
2011-09-13 "142" 0.058557633038833 0.00142857142857143 "no"
2011-08-11 "396" 0.0586067379721988 0.00147058823529412 "no"
2012-09-06 "791" 0.0874625286545583 0.00151515151515152 "no"
2011-08-11 "252" 0.101091727600354 0.0015625 "no"
2013-08-29 "276" 0.112910879419355 0.00161290322580645 "no"
2007-10-10 "31" 0.113553113553113 0.00166666666666667 "no"
2007-10-10 "96" 0.113553113553113 0.00172413793103448 "no"
2010-08-10 "547" 0.120883230020253 0.00178571428571429 "no"
2010-08-10 "555" 0.120883230020253 0.00185185185185185 "no"
2011-10-27 "370" 0.196839371466826 0.00192307692307692 "no"
2010-08-10 "135" 0.198068250344437 0.002 "no"
2010-08-10 "32" 0.198911229715321 0.00208333333333333 "no"
2011-09-13 "98" 0.209735835982225 0.00217391304347826 "no"
2011-09-13 "124" 0.209735835982225 0.00227272727272727 "no"
2011-10-27 "835" 0.209965473758848 0.00238095238095238 "no"
2007-10-10 "448" 0.238461538461538 0.0025 "no"
2007-10-10 "84" 0.238461538461538 0.00263157894736842 "no"
2007-10-10 "95" 0.238461538461538 0.00277777777777778 "no"
2007-10-10 "185" 0.238461538461538 0.00294117647058824 "no"
2011-08-11 "370" 0.276482438791195 0.003125 "no"
2011-10-27 "805" 0.278119289730421 0.00333333333333333 "no"
2011-08-11 "495" 0.424000263674417 0.00357142857142857 "no"
2007-10-10 "94" 0.492307692307692 0.00384615384615385 "no"
2007-10-10 "121" 0.492307692307692 0.00416666666666667 "no"
2007-10-10 "150" 0.492307692307692 0.00454545454545455 "no"
2010-08-10 "137" 0.56663627240769 0.005 "no"
2010-08-10 "685" 0.56663627240769 0.00555555555555556 "no"
2010-08-10 "127" 0.580115772343945 0.00625 "no"
2011-09-13 "682" 0.681411829165609 0.00714285714285714 "no"
2011-10-27 "803" 0.81048756572113 0.00833333333333333 "no"
2010-08-10 "184" 1 0.01 "no"
2011-08-11 "456" 1 0.0125 "no"
2011-08-11 "733" 1 0.0166666666666667 "no"
2011-09-13 "177" 1 0.025 "no"
2011-09-13 "684" 1 0.05 "no"
