depth;date;year;temp
7.5;10.05.1950;1950;8.6
10;10.05.1950;1950;7.7
15;10.05.1950;1950;7.4
20;10.05.1950;1950;7.2
25;10.05.1950;1950;6.7
30;10.05.1950;1950;6
0;12.06.1950;1950;24.2
2.5;12.06.1950;1950;22.1
5;12.06.1950;1950;16.5
7.5;12.06.1950;1950;11.8
10;12.06.1950;1950;10.1
15;12.06.1950;1950;8.8
20;12.06.1950;1950;7.9
25;12.06.1950;1950;7.1
30;12.06.1950;1950;6.4
0;12.07.1950;1950;23.2
2.5;12.07.1950;1950;23.2
5;12.07.1950;1950;22.6
7.5;12.07.1950;1950;13
10;12.07.1950;1950;10.2
15;12.07.1950;1950;8.3
20;12.07.1950;1950;7.3
25;12.07.1950;1950;6.4
30;12.07.1950;1950;6.4
0;09.08.1950;1950;24.5
2.5;09.08.1950;1950;21.6
5;09.08.1950;1950;19.4
7.5;09.08.1950;1950;13.4
10;09.08.1950;1950;10.8
15;09.08.1950;1950;8.3
20;09.08.1950;1950;7.1
25;09.08.1950;1950;7.9
30;09.08.1950;1950;6.8
0;06.09.1950;1950;19.6
2.5;06.09.1950;1950;19.1
5;06.09.1950;1950;19.1
7.5;06.09.1950;1950;15.9
10;06.09.1950;1950;10.9
15;06.09.1950;1950;7.9
20;06.09.1950;1950;7.4
25;06.09.1950;1950;7.1
30;06.09.1950;1950;6.4
0;05.10.1950;1950;15.7
2.5;05.10.1950;1950;15
5;05.10.1950;1950;14.9
7.5;05.10.1950;1950;14.9
10;05.10.1950;1950;10.7
15;05.10.1950;1950;7.9
20;05.10.1950;1950;7.3
25;05.10.1950;1950;6.9
30;05.10.1950;1950;6.6
0;06.11.1950;1950;9.7
2.5;06.11.1950;1950;9.7
5;06.11.1950;1950;9.6
7.5;06.11.1950;1950;9.6
10;06.11.1950;1950;9.5
15;06.11.1950;1950;8
20;06.11.1950;1950;7.4
25;06.11.1950;1950;6.7
30;06.11.1950;1950;6.4
0;04.12.1950;1950;6.3
