date;Bpgal;Bphyl;F1;F2;Pgal;Phyl
2005-06-10;30;4;26;4;13;0
2005-10-14;18;1;39;2;14;0
2005-11-22;8;0;34;0;2;1
2005-12-15;5;0;43;0;5;1
2006-04-18;23;0;57;0;8;0
2006-06-15;4;1;21;0;14;0
2006-06-29;6;0;31;0;2;0
2006-07-11;26;1;50;0;5;0
2006-07-25;39;7;60;5;7;0
2006-08-08;1;0;2;0;0;0
2006-08-22;9;2;14;0;2;0
2006-09-05;14;2;15;0;2;0
2006-10-12;6;0;1;0;6;0
2006-10-26;6;21;19;6;3;1
2006-11-16;13;6;37;7;9;0
2006-12-18;8;1;24;3;5;0
2007-01-22;19;8;37;3;7;2
2007-03-27;6;4;18;14;6;0
2007-04-11;13;4;31;14;12;3
2007-04-23;25;1;14;5;20;0
2007-05-09;27;0;28;1;17;0
2007-05-22;13;2;30;7;20;0
2007-06-04;10;0;20;4;33;0
2007-06-18;10;1;35;1;5;0
2007-07-03;32;4;64;3;3;0
2007-07-09;17;4;65;0;2;0
2007-07-16;11;3;28;2;4;0
2007-07-23;6;4;43;1;5;5
2007-08-02;10;5;50;0;3;0
2007-08-13;7;2;44;1;1;1
2007-08-23;10;1;40;0;4;0
2007-08-30;11;0;27;0;7;0
2007-09-05;3;0;2;0;0;0
2007-09-11;3;5;10;0;2;3
2007-09-25;6;15;16;8;10;4
2007-12-18;2;12;39;1;0;13
2008-03-27;1;4;26;6;2;1
2008-04-24;11;7;31;13;7;0
2008-06-19;13;8;37;2;9;3
2008-09-09;2;2;24;2;3;2
2008-10-08;10;3;34;1;8;1
2008-12-10;6;3;31;0;2;1
2009-03-02;6;4;22;3;4;0
2009-06-03;14;7;28;6;3;1
2009-09-08;10;6;18;3;22;2
2009-12-10;2;3;18;1;3;0
2010-03-10;6;0;10;0;3;0
2010-06-15;3;13;18;12;28;0
2010-08-10;10;6;31;1;23;0
2010-09-07;12;3;37;8;6;1
2010-12-07;10;1;26;1;11;0
2011-03-07;17;2;23;3;17;2
2011-06-16;14;4;34;13;8;2
2011-09-13;5;3;53;0;3;6
2011-12-08;6;0;35;2;22;0
